Ticker,Current Price,Forward PE,analyst target price,beta,analyst sentiment,quarterly_earnings_growth,quarterly_revenue_growth,revenue_per_share_ttm,last_quarter_report_date,fiscal_date_ending,reported_eps,estimated_eps,earnings_surprise,earnings_surprise_percent,last_quarter,last_quarter_revenue,last_quarter_net_income,last_quarter_gross_profit,last_quarter_operating_income,last_quarter_net_margin,last_quarter_gross_margin,last_quarter_total_assets,last_quarter_total_debt,last_quarter_cash,market_cap,shares_outstanding,sector
AAPL,220.03,25.97,232.63,1.199,Hold,0.121,0.096,27.17,2025-07-31,2025-06-30,1.57,1.41,0.16,11.3475,2025-06-30,94036000000.0,23434000000.0,43718000000.0,28202000000.0,24.920243311072355,46.490705687183635,331495000000.0,101698000000.0,,3003400323000.0,14840400000.0,TECHNOLOGY
ACMR,29.48,14.75,35.06,1.494,Buy,0.163,0.132,12.8,N/A,N/A,,,,,2025-03-31,172347000.0,20380000.0,82550000.0,25777000.0,11.824980997638484,47.89755551300574,1933768000.0,237139000.0,,1882725000.0,58843000.0,TECHNOLOGY
AFRM,66.41,90.09,73.66,3.639,Buy,0.0,0.359,9.4,N/A,N/A,,,,,2025-03-31,783134000.0,2804000.0,512116000.0,-8393000.0,0.3580485587396282,65.39315110823945,10436187000.0,7358282000.0,,21423868000.0,281826000.0,TRADE & SERVICES
ALAB,131.1,100.0,106.94,,Overvalued,-0.625,1.443,3.086,N/A,N/A,,,,,2025-03-31,159442000.0,31819000.0,119411000.0,11285000.0,19.956473200286,74.89306456266227,1121694000.0,,,21620619000.0,164917000.0,MANUFACTURING
AMSC,53.75,99.01,66.67,2.916,Strong Buy,0.0,0.796,6.75,N/A,N/A,,,,,2025-06-30,72358000.0,6724000.0,24489000.0,5644000.0,9.292683600983995,33.84421902208464,452846000.0,3760000.0,,2427398000.0,45160900.0,MANUFACTURING
AMZN,223.13,33.56,259.9,1.337,Buy,0.333,0.133,63.37,N/A,N/A,,,,,2025-06-30,167702000000.0,18164000000.0,60917000000.0,19171000000.0,10.831117100571252,36.32455188369846,682170000000.0,133939000000.0,,2290287116000.0,10664900000.0,TRADE & SERVICES
ANET,117.57,45.45,111.44,1.404,Weak,0.28,0.276,5.91,N/A,N/A,,,,,2025-03-31,2004800000.0,813800000.0,1276100000.0,858800000.0,40.592577813248205,63.652234636871505,14514600000.0,,,147658506000.0,1255920000.0,TECHNOLOGY
APH,,35.34,113.56,1.139,No Target,1.098,0.565,15.56,N/A,N/A,,,,,2025-06-30,5650300000.0,1091300000.0,2053300000.0,1418800000.0,19.314018724669488,36.33966338070545,25668400000.0,8062400000.0,,127354167000.0,1220920000.0,MANUFACTURING
ATAT,33.46,19.72,39.27,0.822,Buy,-0.065,0.298,55.64,N/A,N/A,,,,,2025-03-31,1905814000.0,242703000.0,832243000.0,355281000.0,12.734873392681553,43.66863712828219,7916650000.0,1759274000.0,,4623704000.0,113626000.0,REAL ESTATE & CONSTRUCTION
ATI,76.72,23.87,97.0,1.129,Strong Buy,0.218,0.041,32.65,N/A,N/A,,,,,2025-06-30,1140400000.0,100700000.0,242500000.0,161000000.0,8.830235005261313,21.26446860750614,5021000000.0,1890000000.0,,10574471000.0,137832000.0,MANUFACTURING
BK,90.6340187284377,14.41,101.11,1.066,Buy,0.27,0.097,26.56,N/A,N/A,,,,,2025-06-30,10358000000.0,1423000000.0,,1770000000.0,13.738173392546823,,485781000000.0,51282000000.0,,70390104000.0,705241000.0,FINANCE
BRK-B,461.47,23.42,522.33,0.818,Buy,-0.637,-0.002,258300.03,N/A,N/A,,,,,2025-03-31,89725000000.0,4603000000.0,67576000000.0,6405000000.0,5.130119810532182,75.31457230426302,1164532000000.0,125927000000.0,,1021277635000.0,1342840000.0,FINANCE
CCJ,72.93,66.23,74.64,1.222,Hold,8.21,0.465,8.2,N/A,N/A,,,,,2025-06-30,877016000.0,320888000.0,257090000.0,165951000.0,36.588614118784605,29.31417442783256,9581556000.0,,,31752774000.0,435387000.0,ENERGY & TRANSPORTATION
CLS,156.11,35.46,217.58,1.692,Strong Buy,1.276,0.21,90.95,N/A,N/A,,,,,2025-06-30,2893400000.0,211000000.0,371000000.0,272500000.0,7.292458699108316,12.822285200801826,6241100000.0,875200000.0,,22401528000.0,115033000.0,MANUFACTURING
COIN,314.69,57.14,367.85,3.712,Buy,36.93,0.029,26.57,N/A,N/A,,,,,2025-06-30,1497208000.0,1428900000.0,1251947000.0,-8702000.0,95.4376412629374,83.61877574792547,23476038000.0,4508672000.0,,80855818000.0,215159000.0,FINANCE
CRCL,168.1,,,,No Target,0.0,0.0,0.0,N/A,N/A,,,,,2025-03-31,578573000.0,64791000.0,155306000.0,92940000.0,11.198414028998933,26.842939438929918,62262397000.0,37414000.0,,23293999000.0,0.0,TECHNOLOGY
CRWD,446.66,126.58,482.69,1.157,Hold,5.33,0.198,16.8,N/A,N/A,,,,,2025-04-30,1103434000.0,-110207000.0,814291000.0,-124656000.0,-9.987638590074258,73.79607661174117,8720362000.0,785398000.0,,111329116000.0,249248000.0,TECHNOLOGY
C,91.23,12.3,101.17,1.329,Buy,0.285,0.079,38.99,N/A,N/A,,,,,2025-06-30,42352000000.0,4019000000.0,18796000000.0,5219000000.0,9.489516433698526,44.380430676237246,2622772000000.0,721234000000.0,,169049850000.0,1840900000.0,FINANCE
DASH,248.35,109.89,243.39,1.703,Hold,0.0,0.207,27.05,N/A,N/A,,,,,2025-03-31,3032000000.0,193000000.0,1532000000.0,155000000.0,6.3654353562005275,50.52770448548812,13572000000.0,527000000.0,,105236824000.0,398681000.0,TRADE & SERVICES
DAVE,232.73,27.1,242.0,3.989,Hold,-0.242,0.467,29.92,N/A,N/A,,,,,2025-03-31,107979000.0,28812000.0,100873000.0,35149000.0,26.682966132303505,93.41909074912714,315655000.0,75469000.0,,3104711000.0,11826400.0,FINANCE
DOCS,57.33,41.49,63.22,1.367,Buy,0.543,0.171,3.053,N/A,N/A,,,,,2025-03-31,138288000.0,62458000.0,123821000.0,48680000.0,45.16516255929654,89.53849936364688,1264309000.0,12396000.0,,10744617000.0,136498000.0,TECHNOLOGY
FIX,695.3,35.84,767.2,1.508,Buy,0.746,0.201,216.32,N/A,N/A,,,,,2025-06-30,2173319000.0,230848000.0,509897000.0,299873000.0,10.621910543275055,23.461673136801362,5063729000.0,283650000.0,,24531227000.0,35281500.0,REAL ESTATE & CONSTRUCTION
FRFHF,1806.58,,,,No Target,,,,N/A,N/A,,,,,No File,,,,,,,,,,,,
FUTU,123.59,11.99,156.49,0.601,Strong Buy,1.054,0.854,100.6,N/A,N/A,,,,,2025-03-31,4694637000.0,2145323000.0,3945684000.0,2685258000.0,45.69731376462121,84.0466259691644,180638414000.0,11235030000.0,,19724431000.0,94784000.0,FINANCE
GOOGL,10.6512338198003,19.65,216.01,1.005,Strong Buy,0.223,0.138,30.43,2025-07-23,2025-06-30,2.31,2.17,0.14,6.4516,2025-06-30,96428000000.0,28196000000.0,57389000000.0,31271000000.0,29.240469573153028,59.514871199236744,502053000000.0,35559000000.0,,2291782910000.0,5817000000.0,TECHNOLOGY
HEI,325.09,62.5,322.65,1.084,Hold,0.273,0.149,29.79,N/A,N/A,,,,,2025-04-30,1097820000.0,156793000.0,437804000.0,248152000.0,14.282213841977736,39.87939735111403,8092176000.0,2278151000.0,,39521518000.0,55049000.0,MANUFACTURING
HOOD,99.9,70.92,106.9,2.366,Hold,1.0,0.45,4.036,N/A,N/A,,,,,2025-06-30,989000000.0,386000000.0,913000000.0,363000000.0,39.02932254802831,92.3154701718908,35324000000.0,,,88778637000.0,773964000.0,FINANCE
IREN,14.57,17.92,22.0,3.988,Strong Buy,0.429,1.725,1.957,N/A,N/A,,,,,2025-03-31,144823000.0,24227000.0,137359000.0,35527000.0,16.72869640871961,94.84612250816514,1989755000.0,324075000.0,,3724752000.0,241867000.0,TECHNOLOGY
JBL,218.56,20.66,227.5,1.202,Hold,0.915,0.157,256.02,N/A,N/A,,,,,2025-05-31,7828000000.0,222000000.0,681000000.0,403000000.0,2.8359734287174247,8.699540112416965,18587000000.0,3330000000.0,,23455640000.0,107319000.0,MANUFACTURING
JPM,286.94,15.43,303.74,1.094,Hold,-0.144,-0.106,57.9,N/A,N/A,,,,,2025-06-30,69944000000.0,14987000000.0,42063000000.0,18284000000.0,21.427141713370695,60.138110488390716,4552482000000.0,485095000000.0,,795671986000.0,2749670000.0,FINANCE
KLAC,886.64,26.39,924.0,1.416,Hold,0.465,0.236,91.38,N/A,N/A,,,,,2025-06-30,3174741000.0,1202849000.0,1967455000.0,1351760000.0,37.888098588199796,61.97214197945596,16067926000.0,5884257000.0,,117250163000.0,132241000.0,LIFE SCIENCES
KNSA,31.98,,45.17,0.046,Strong Buy,5.5,0.443,7.3,N/A,N/A,,,,,2025-06-30,156797000.0,17832000.0,85763000.0,20160000.0,11.372666568875681,54.69683731193836,661150000.0,9765000.0,,2369964000.0,43472900.0,LIFE SCIENCES
LIF,74.4,142.86,71.12,1.086,Hold,0.0,0.325,1.79,N/A,N/A,,,,,2025-03-31,103624000.0,4378000.0,83549000.0,2189000.0,4.224889986875628,80.62707480892458,455422000.0,263000.0,,5693736000.0,76529000.0,TECHNOLOGY
META,761.83,28.82,844.48,1.284,Buy,0.384,0.216,70.81,N/A,N/A,,,,,2025-06-30,47516000000.0,18337000000.0,39025000000.0,20441000000.0,38.59121138142941,82.13022981732469,294744000000.0,49560000000.0,,1884130116000.0,2168960000.0,TECHNOLOGY
MIRM,52.02,39.68,68.7,0.971,Strong Buy,0.0,0.612,7.9,N/A,N/A,,,,,2025-03-31,111585000.0,-14677000.0,88567000.0,-15183000.0,-13.153201595196487,79.37177936102523,690245000.0,317156000.0,,2576795000.0,49534700.0,LIFE SCIENCES
MSFT,520.84,34.25,594.57,1.033,Buy,0.237,0.181,37.9,2025-07-30,2025-06-30,3.65,3.37,0.28,8.3086,2025-06-30,76441000000.0,27233000000.0,52427000000.0,34323000000.0,35.62616920239139,68.58492170432098,619003000000.0,60588000000.0,,3895798530000.0,7433170000.0,TECHNOLOGY
NET,200.11,250.0,204.49,1.853,Hold,0.0,0.278,5.46,N/A,N/A,,,,,2025-06-30,512316000.0,-50446000.0,383639000.0,-67264000.0,-9.846657141295607,74.88327516610842,5562361000.0,3462113000.0,,69734728000.0,312872000.0,TECHNOLOGY
NVDA,180.77,38.91,182.79,2.131,Hold,0.267,0.692,6.06,N/A,N/A,,,,,2025-04-30,44062000000.0,18775000000.0,26668000000.0,21638000000.0,42.61041260042667,60.52380736235305,125254000000.0,10285000000.0,,4236614042000.0,24387600000.0,MANUFACTURING
ONC,299.01,166.67,336.42,0.284,Buy,0.0,0.486,39.41,N/A,N/A,,,,,2025-03-31,1117279000.0,1270000.0,952277000.0,11102000.0,0.11366901194777669,85.23179975637241,5841526000.0,996825000.0,,32928178000.0,99370000.0,LIFE SCIENCES
OUST,21.98,,18.11,2.749,Overvalued,0.0,0.258,2.412,N/A,N/A,,,,,2025-03-31,32632000.0,-22017000.0,13483000.0,-23830000.0,-67.47058102476096,41.31833782789899,268587000.0,18965000.0,,1182414000.0,53795000.0,TECHNOLOGY
PLTR,154.27,277.78,113.54,2.593,Overvalued,1.0,0.393,1.364,N/A,N/A,,,,,2025-03-31,883855000.0,214031000.0,710885000.0,176048000.0,24.21562360341911,80.4300479150992,6736917000.0,244596000.0,,364063293000.0,2262910000.0,TECHNOLOGY
PWR,395.17,38.02,412.75,1.078,Hold,0.206,0.211,176.06,N/A,N/A,,,,,2025-06-30,6773007000.0,229250000.0,1007574000.0,370282000.0,3.3847595314754586,14.876317121774715,19891264000.0,453547000.0,,58882703000.0,149006000.0,REAL ESTATE & CONSTRUCTION
RBLX,125.03,192.31,139.45,1.608,Buy,0.0,0.209,6.03,N/A,N/A,,,,,2025-06-30,1080677000.0,-278375000.0,844564000.0,-322460000.0,-25.759315688221363,78.1513810324454,7845571000.0,641132000.0,,86676668000.0,645033000.0,TECHNOLOGY
RKLB,44.81,,37.27,2.159,Overvalued,0.0,0.321,0.932,N/A,N/A,,,,,2025-03-31,122569000.0,-60616000.0,35247000.0,-59188000.0,-49.454592923169805,28.756863480978062,1254973000.0,489684000.0,,21479182000.0,479339000.0,REAL ESTATE & CONSTRUCTION
RMBS,72.41,20.45,78.25,1.238,Hold,0.606,0.303,6.02,N/A,N/A,,,,,2025-06-30,172209000.0,57935000.0,137439000.0,62993000.0,33.64226027675673,79.80941762625646,1467811000.0,27936000.0,,7790882000.0,107594000.0,MANUFACTURING
RYTM,88.3,,104.57,2.268,Buy,0.0,0.259,2.217,N/A,N/A,,,,,2025-03-31,32704000.0,-49498000.0,29056000.0,-47004000.0,-151.35151663405088,88.84540117416829,386685000.0,4063000.0,,5826838000.0,65989000.0,LIFE SCIENCES
SFM,154.08,30.96,183.43,0.777,Buy,0.436,0.173,84.77,N/A,N/A,,,,,2025-06-30,2220602000.0,133703000.0,862600000.0,179356000.0,6.021024929275935,38.84532212436087,3783228000.0,1755831000.0,,15057653000.0,97726000.0,TRADE & SERVICES
SHOP,118.6,85.47,120.36,2.615,Hold,0.948,0.268,7.26,N/A,N/A,,,,,2025-03-31,2360000000.0,-682000000.0,1169000000.0,203000000.0,-28.89830508474576,49.53389830508475,13400000000.0,1138000000.0,,153183764000.0,1218140000.0,TECHNOLOGY
SNEX,96.96,,111.0,0.54,Buy,0.294,0.675,2626.42,N/A,N/A,,,,,2025-03-31,36890700000.0,71700000.0,590800000.0,430600000.0,0.19435792760777107,1.6014876378057343,31282900000.0,13970500000.0,,4742953000.0,48916600.0,FINANCE
SNOW,205.02,181.82,233.69,1.222,Buy,0.0,0.257,11.55,N/A,N/A,,,,,2025-04-30,1042074000.0,-430092000.0,693288000.0,-447257000.0,-41.27269272623633,66.52963225260395,8157407000.0,2687763000.0,,68406563000.0,333658000.0,TECHNOLOGY
SOFI,21.23,62.5,20.06,1.921,Weak,9.98,0.439,2.776,N/A,N/A,,,,,2025-06-30,1121442000.0,97263000.0,836839000.0,112192000.0,8.673029902571868,74.62169242814163,41112171000.0,,,25394901000.0,1196180000.0,REAL ESTATE & CONSTRUCTION
SYM,50.85,256.41,39.07,2.037,Overvalued,0.0,0.397,19.71,N/A,N/A,,,,,2025-03-31,549651000.0,-3925000.0,107828000.0,-32059000.0,-0.7140894858737635,19.617539129374823,1964185000.0,,,29981719000.0,109080000.0,REAL ESTATE & CONSTRUCTION
TBBK,62.49,,68.0,1.256,Hold,0.21,0.112,10.84,N/A,N/A,,,,,2025-06-30,-56059000.0,59821000.0,-128532000.0,-75238000.0,,,8839231000.0,,,2890969000.0,46262900.0,FINANCE
TOST,46.66,49.75,45.88,2.007,Hold,0.0,0.244,9.23,N/A,N/A,,,,,2025-03-31,1337000000.0,56000000.0,346000000.0,43000000.0,4.18848167539267,25.878833208676138,2564000000.0,22000000.0,,26993510000.0,498000000.0,TECHNOLOGY
TSLA,322.27,158.73,306.32,2.398,Hold,-0.175,-0.118,28.86,N/A,N/A,,,,,2025-06-30,22496000000.0,1172000000.0,3878000000.0,923000000.0,5.209815078236131,17.238620199146514,128567000000.0,13134000000.0,,976117957000.0,3225450000.0,MANUFACTURING
TSM,235.21,23.87,269.76,1.341,Buy,0.607,0.386,81.99,N/A,N/A,,,,,2025-06-30,933792000000.0,398273000000.0,547369000000.0,463423000000.0,42.65114715054316,58.61787207429492,7006350000000.0,,,1219921445000.0,5186520000.0,MANUFACTURING
TSSI,28.83,,7.0,1.664,Overvalued,178.1,5.23,10.15,N/A,N/A,,,,,2025-03-31,98959000.0,2979000.0,9210000.0,4113000.0,3.0103376145676495,9.306884669408543,113539000.0,32916000.0,,677805000.0,25020500.0,TRADE & SERVICES
URBN,76.21,15.6,76.5,1.442,Hold,0.785,0.107,61.51,N/A,N/A,,,,,2025-04-30,1329501000.0,108347000.0,489064000.0,128227000.0,8.149448552502028,36.785530811936205,4457076000.0,1140529000.0,,6831632000.0,89642000.0,TRADE & SERVICES
VEEV,281.35,38.02,296.17,0.986,Hold,0.398,0.167,17.6,N/A,N/A,,,,,2025-04-30,759043000.0,228190000.0,585219000.0,233732000.0,30.06285546405144,77.09958460851361,7765077000.0,77231000.0,,45975966000.0,163412000.0,TECHNOLOGY
VRT,141.59,38.76,154.96,1.753,Hold,0.804,0.351,24.02,N/A,N/A,,,,,2025-06-30,2638100000.0,324200000.0,896600000.0,421100000.0,12.289147492513552,33.98658125165839,10406200000.0,224100000.0,,54068548000.0,381867000.0,REAL ESTATE & CONSTRUCTION
WMT,97.78,37.74,109.54,0.677,Buy,-0.111,0.025,85.31,N/A,N/A,,,,,2025-04-30,165609000000.0,4487000000.0,41306000000.0,7135000000.0,2.7093938131381745,24.941881177955306,262372000000.0,67205000000.0,,785991533000.0,7980420000.0,TRADE & SERVICES
XOM,105.95,17.15,123.79,0.469,Buy,-0.236,-0.107,74.88,N/A,N/A,,,,,2025-06-30,93060000000.0,9240000000.0,29057000000.0,13665000000.0,9.929078014184398,31.22394154309048,447597000000.0,65173000000.0,,467395314000.0,4263000000.0,ENERGY & TRANSPORTATION
ZS,280.27,75.76,315.61,1.109,Buy,0.0,0.226,16.63,N/A,N/A,,,,,2025-04-30,678034000.0,-4125000.0,522056000.0,-25411000.0,-0.6083765710864057,76.99554889577809,5339628000.0,1228815000.0,,43636916000.0,155696000.0,TECHNOLOGY
